Image No,X- Coordinate,Y - Coordinate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_001,2786.00,1520.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_002,1895.00,1437.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_003,2783.00,1834.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_004,1595.00,1548.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_005,1662.00,1308.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_006,1638.00,1631.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_007,2753.00,1718.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_008,2166.00,1463.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_009,1985.00,1686.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_010,1726.00,1782.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_011,2033.00,1643.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_012,1820.00,1421.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_013,2119.00,1374.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_014,2024.00,1848.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_015,1503.00,1003.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_016,1555.00,1144.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_017,2028.00,1649.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_018,1669.00,1582.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_019,2121.00,1620.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_020,1732.00,1848.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_021,2788.00,1801.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_022,1621.00,1008.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_023,2137.00,1366.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_024,1553.00,1835.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_025,1509.00,1571.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_026,2392.00,1517.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_027,1544.00,1153.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_028,1664.00,1380.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_029,2358.00,1598.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_030,2351.00,1538.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_031,2477.00,1448.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_032,1512.00,1535.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_033,1704.00,1491.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_034,2300.00,1160.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_035,1506.00,1708.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_036,1675.00,1693.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_037,2110.00,1819.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_038,2284.00,1576.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_039,1513.00,1844.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_040,1518.00,1405.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_041,2358.00,1636.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_042,1533.00,1627.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_043,1534.00,1139.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_044,2159.00,1380.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_045,2163.00,1377.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_046,1776.00,1402.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_047,2182.00,1407.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_048,2211.00,1444.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_049,1525.00,1420.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_050,2777.00,1851.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_051,1735.00,1845.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_052,2107.00,1361.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
